Country,Segment,Total Coverage,publication_year,Audit Name,Audit Type,Data Source,Universe,Projection,Frequency (MIDAS),Backdata (MIDAS),Sales Level,Local Currency,Icons not on MIDAS,Segments not covered,"Covered locally, not on MIDAS",Notes,Market Segment,Frequency (Local),Backdata (Local),Corporation,Market Segmentation
Kazakhstan,Non-Retail,1,2022,Kazakhstan Budget Audit,Non-Retail Government,State wholesaler data and 13 wholesalers,"1,200 hospitals, reimbursement systems",Not projected,Monthly,From Q1 2005,Trade,Kazakhstani Tenge,DOT,-,-,"Notes

•   Kazakhstan Non Retail audit (locally called Kazakhstan Budget) captures wholesaler transactions to Hospitals and Reimbursement systems. This includes two levels, funding from the national budget and from regional budgets
•   National budget: As part of the national finance, two programs exists covering reimbursement and hospital purchasing. The state distributor “SK- Pharmacia” is included in the IQVIA sample, and delivers products to the hospitals under these programs
•   Regional budget: Regional reimbursement and additional hospital foundations are covered by regional budgets. Data for this segment of the market is provided by State wholesaler
•   The Kazakhstan Budget audit is not projected",0.4,Monthly,From Q1 2005,Local,-
Kazakhstan,Retail,1,2022,Kazakhstan Retail Audit,Retail Sell-in,17 wholesalers,100 wholesalers,Yes,Monthly,From Q1 2005,Trade,Kazakhstani Tenge,DOT,-,-,"Notes

•   The Kazakhstan Retail audit captures transactions from wholesalers, accounting for approximately 80% of the market, with projection factors being applied to obtain a total
market view",0.6,Monthly,From Q1 2005,Local,-
Jordan,Retail,0.71,2022,Jordan Pharmaceutical Index (JPI),Retail Sell-in,110 pharmacies + 1 major chain pharmacy + 20 distributors,"3,500 pharmacies","Panel pharmacies projected, chain pharmacy unprojected",Monthly,144 months,Trade,Jordanian Dinar,-,"Health care centres, hospitals, government institutions",-,"Notes

•   The JPI does not cover the consumption of drugs distributed directly by the Health Care Centres, Hospitals and Government Institutions",0.71,Monthly,60 months,Local and MIDAS,MIDAS
Japan,Hospital,1,2022,Japan Hospital Pharmaceutical Market (JHPM),Hospital Sell-in,50 wholesalers (99% total volume),76 wholesalers,Yes,Monthly,144 months,Public,Japanese Yen (millions),DDD,Direct sales,-,"Notes

•    In Japan, healthcare is accessed through a network of around 96,000 clinics and some 7,000 hospitals. A large proportion of hospitals and clinics are privately-owned

•    This audit covers the ethical drugs sold through pharmaceutical wholesalers only. The ethical drugs directly sold to hospitals and general practitioners, OTC drugs, quasi-drugs, animal health medicines, and agricultural medicines are not included

•    The hospitals in this report cover medical facilities with 100 beds and over and covers approx. 7,000 medical facilities, which include the healthcare facilities for the elderly as of December 2012

•    The data for this report is based on sales made to the hospitals with 100 beds and over, through the 50 panel wholesalers of JPM; the monthly figures are obtained and further projected to show the estimated national
total market",0.42,Monthly,144 months,Local,Local
Japan,Retail,1,2022,Japan Pharmaceutical Market (JPM),Retail Sell-in,50 wholesalers (99% total volume),76 wholesalers,Yes,Monthly,144 months,Public,Japanese Yen (millions),DDD,Direct sales,"GP, Pharmacy split","Notes

•    Locally, the JPM consists of 3 channels
-    Hospital (100 or more bed institutions)
-    GP (0-99 bed institutions, including Dispensing Doctors)
-    Pharmacy
•    The GP and Pharmacy channels are combined on MIDAS to Japan Retail
•    At present, there are an estimated 800 wholesalers in Japan. However, most of them are very small family business companies; therefore, IQVIA-J regards major 76 wholesalers as the Universe of Japanese ethical market. Most of them are members of JPWA (Japan Pharmaceutical Wholesalers Association). The 50 panel wholesalers have been selected from 47 prefectures in order to reflect the Universe and manufacturers’ share in each prefecture
•    It is estimated that the total ethical sales volume by the panel wholesalers is 99% of the total sales volume of the member
of JPWA",0.58,Monthly,144 months,Local,Local
Italy,DPC,1,2022,Distribuzione Per Conto (DPC),LHA Consumption,Wholesalers servicing the 104 LHA where DPC is active,104 LHA where DPC is active,Yes,Monthly,From M01 2007,Manufacturer,Euro,DOT,-,-,"Notes

•    Distribuzione per Conto refers to “Direct to Patient Distribution”

•    Measuring the flow of drug distribution directly to patients through a special agreement between LHAs, wholesalers and retail pharmacies

•    This type of distribution is considered to be ‘’non retail’’

•    The product (price and quantities) are negotiated between the Manufacturer and the Local Health Authority (LHA); prices of products sold under this agreement are subject to the hospital pricing rules

•    Wholesalers are the main data providers for the DPC channel. Data is collected from a panel on which IQVIA has previously obtained the needed authorization from Regional or Local Health Authorities to collect and deliver information. When a LHA does not give the authorization, the data source is the prescription data flow (DPC prescriptions are identified by a flag)",0.08,Monthly,36 months,MIDAS,MIDAS
Italy,Hospital,1,2022,Il Mercato Farmaceutico Ospedalerio (IMFO),Hospital Consumption,"70,2% of Public Hospitals (beds), 69,5% Local Health Authorities (population), key ATC are integrated by collaborating Manufacturers (ex-factory data)",153.033 beds,"Yes, based on weighted factors",Monthly,144 months,Manufacturer,Euro,DOT,-,-,"Notes

•   The IMFO provides information on drug consumption in the hospital market. The hospital service represents the flow of drugs dispensed by the hospital pharmacies to inpatient and out patient wards and through the ""hospital direct distribution"" system
•   The projection method is based on weighted factors. The sample design is stratified according to 18 geographic areas and 19 macro wards
•   In order to improve the representativeness of the most significant specialty markets, the sample of Hospitals and LHA has been integrated with the ex-factory data from collaborating pharmaceutical companies",0.53,Monthly,36 months,MIDAS,MIDAS
Italy,Retail Sell-Out,1,2022,National SELLOUT (NMNM),Retail Sell-out,"Federfarma/Assofarm (Pharmacies Associations, coverage 97%), 8,000 pharmacies, 193 wholesaler warehouses","18,963 pharmacies",A statistical algorithm is applied to estimate total sellout (being census the reimbursed products while the private consumption is estimated),Monthly,From M01 2014,Manufacturer,Euro,DOT,-,-,"Notes

•   With reference to reimbursed products (classe A/A con nota), Italian pharmacies have to communicate the sellout volumes to Minister of Health to get the reimbursement. IQVIA gather this data flow through Italian Pharmacy Associations
•   The total sell out is estimated through an algorithm based on the ratio between sell out and sell in in the pharmacy panel, and then applied to the wholesalers sellin",0.38,Monthly,36 months,MIDAS,MIDAS
Italy,Retail,1,2022,Il Mercato Farmaceutico (IMF),Retail Sell-in,"193 wholesaler warehouses, 8,000 pharmacies,
Pharma Companies (direct sales)","193 wholesaler warehouses, 18,963 pharmacies",A projection factor is applied to estimate about 1% sales,Monthly,144 months,Manufacturer,Euro,DOT,-,-,"Notes

•   The Italian pharmacy sector comprises both direct and indirect sales
•   Indirect sales are collected from wholesalers (some of them are present in more than one region) with minor projection of 2 missing wholesalers
•   Direct sales figures are gathered from collaborating Pharma companies, and the non collaborating are estimated through an algorithm applied on the 8,000 pharmacy panel",0.38,Monthly,36 months,MIDAS,MIDAS
Ireland,Hospital,1,2022,Irish National Hospital (IHI),Hospital Sell-in,Wholesalers and manufacturers with direct hospital pharmacy sales,200 Hospital Pharmacies,No,Monthly,From M01 2006,Trade,Euro,-,-,-,"Notes

•   Data are provided by the major wholesaling groups and manufacturers who sell direct on all their distribution to hospital pharmacies, and is
not projected",0.2,Monthly,60 months,Local,Local
Ireland,Retail,1,2022,Irish Pharmaceutical Index (IPI),Retail Sell-in,Major wholesaler groups,"1,771 retail pharmacies",No,Monthly,144 months,Trade,Euro,-,-,-,"Notes

•   Data is provided by the major wholesaling groups on all their distribution to retail pharmacies and all the major parallel traders for Rx products. The residue of the market is estimated from the purchase data based on parallel trade being carried out by individual pharmacies throughout the Republic of Ireland that hold wholesaler licenses
•   The sample is designed to be representative of the number of shops in each of 54 subdivisions (bricks) of the Country, based on countries, and postal districts of Dublin",0.8,Monthly,60 months,Local,Local
Indonesia,Total Market Audit,0.6,2022,Indonesia Total Market Audit (ITMA),Sell-in,Distributor’s Data from Manufacturers(DDM) + Panels Projection,,Yes (For Non Contributors),Quarterly,From Q1 2015,Trade,Indonesian Rupiah (millions),-,-,-,"Notes 

•   The ITMA covers sell-in data from Distributors to all available channel in Indonesia, including modern trade and clinics based on direct manufacturer input
•   The ITMA is only available to customers who are contributors of data at the local level",0.68 (Rx); 0.32 (Free Sales),Quarterly,From Q1 2019,Local,Local
Indonesia,Hospital,0.6,2022,Indonesia Hospital Pharma Audit (IHPA),Hospital Sell-Out,250 hospitals,"3,150 hospitals",Yes,Quarterly,48 quarters,Trade,Indonesian Rupiah (millions),-,-,-,"Notes

•   The IHPA measures usage from hospital pharmacies to patients, which represents 33% of the total national pharmaceutical market
•   The 250 hospitals consist of general hospitals divided into 2 types (Government and Private) and specialty hospitals divided into
3 categories (Maternity, Pulmonology
and Ophthalmology)
•   General hospitals panels are also stratified into 2 classes of bed-sizes (1 - 200 and greater than 200 beds)",0.32,Quarterly,From Q1 2017,Local,Local
Indonesia,Retail,0.6,2022,Indonesia Pharmaceutical Audit (IPA),Retail Sell-out,936 pharmacies,"28,695 pharmacies","Yes, by area - 12 factors",Quarterly,48 quarters,Trade,Indonesian Rupiah (millions),-,-,-,"Notes

•   The IPA measures sales from retail pharmacies (apotiks) to patients/end- users, which represents 28% of the total national pharmaceutical market
•   The sample retail pharmacies are carefully selected so as to be representative of the movement of drugs passing through. They are randomly selected and located in different cities and towns distributed throughout Indonesia",0.26,Quarterly,From Q1 2017,Local,Local
Indonesia,Drugstore,0.6,2022,Indonesia Drugstores Audit (IDA),Retail Sell-in,175 drugstores,"8,855 drugstores","Yes, by regions and drugstore type",Quarterly,48 quarters,Trade,Indonesian Rupiah (millions),-,-,-,"Notes

•    In Indonesia, medicines are classified into 4 categories: Narcotics (O), Prescription Medicine (G), OTC Medicine with Warning Labels (W) and OTC Medicines (F)

•    By legislation, O and G can only be sold through pharmacies (apotiks) on prescriptions. Drugstores (toko obat) can deal in W and F. F can also be sold through outlets such as supermarkets and general stores. Although legally prohibited from selling G, the majority of the drugstores deal in these products thus fulfilling the function of a cheaper source of pharmaceutical products, particularly for self- medication. Besides drugstores, there exists large number of peddlers throughout the country with greater concentration in the cities. These peddlers, unauthorized to deal in prescription medicines, in practice, trade in ethical drugs as well

•    The IDA measures sales from distributors/sub-distributors to licensed drugstores, which represents 8% of the total national pharmaceutical market",0.05,Quarterly,From Q1 2017,Local,Local
India,Hospital,0.95,2022,Hospital Secondary Audit (HSA),Stockist sale out to Hospital,"8,970 stockists","29,000+ stockists","Yes, Factors for Company X 25 Regions (H SA)",Monthly,"From Q1 2005
From M01 2007",Trade,Indian Rupee,Local ATC classification,"Sales or tenders to NGOs, Primary health centres, Direct hospital supply form Manufacture or CNF",-,"Notes

•   Covers sales out of stockists to retailers, located inside the premises of hospitals/nursing homes. The sample is stratified into 30 major metros and 21 states (excluding the metros) regional clusters. As an additional stratification semi-rural and rural clusters are being considered. At the same time these regional clusters are taking into account the socio- demographic environment. A special focus is on Hospital stockists to ensure that the company coverage benchmarks are met within each of the regional clusters
•   Projection factors are calculated as the ratio of universe turnover to panel turnover (ratio estimator), by zone and company. Hence, for each zone, the panel data is projected separately by company",0.13,Monthly,60 months,Local,-
India,Retail,0.95,2022,Secondary Stockist Audit (SSA),Stockist sell-out to Retailers,"8,970 stockists","29,000+ stockists","Yes, Factors for Company x Region x Outlet for 51 Regions (SSA)",Monthly,144 months,Trade,Indian Rupee,Local ATC classification,"Sales or tenders to NGOs, Primary health centres, Direct hospital supply form Manufacture or CNF",-,"Notes

•    Drug Distribution in India is unique and fragmented
-    Stockists (wholesalers) are appointed by companies to distribute products
-    Each company has its own stockists universe
-    Stockists can distribute for different companies or can specialize
-    Stockists can sell to sub-stockists
-    Unlike many other markets, there are no stockists who distribute for all manufacturers
•    Data for some specialist areas such as Vaccines, Oncology, Super-Specialty or Institutional products may be under- represented due to reasons as below
-    Proportion of the sales are out of scope. Direct Institutional sales, Direct Doctor or Patients sales are not captured
-    Specialist Stockists operating in specialist fields may not be captured and projected in the IQVIA audit",0.81,Monthly,60 months,Local,-
India,Total Sales,0.95,2022,Total Sales Audit (TSA),Stockist sale out,"8,970 stockists","29,000+ stockists","Yes, Factors for Company x Region x Outlet for 51 Regions (SSA) and 25 Regions (H SA)",Monthly,From M01 2007,Trade,Indian Rupee,Local ATC classification,"Sales or tenders to NGOs, Primary health centres, Direct supply form Manufacture or CNF without going through stockist","Split by Retail, hospital, dispensing doctors available locally, Regional, Townclass, Metro, State by townclass","Notes

•   The India Total Sales Audit is a measure of sales out of stockists to three different channels:
-   Retailers/Wholesalers (SSA)
-   Retailers located inside the premises of Hospitals/Nursing homes (HSA)
-   Dispensing Doctors and others
(DSA)
•   Locally, all of these audits are available separately, but on MIDAS it is only the SSA and HSA which show the split",1,Monthly,60 months,Local,-
Hungary,Hospital,1,2022,Hungary Hospital Audit (HHA),Hospital Sell-in,"17 Wholesalers, 13 direct sales","164 Hospitals (69,761 beds)",Not projected,Monthly,144 months,Manufacturer,Hungarian Forint,-,-,Sales values shown at both manufacturer and public level locally,"Notes

•   The Hungarian healthcare system provides comprehensive universal care through a predominantly publicly- funded scheme. Hungary has 175 hospitals which are run either by the Ministry of Health, the municipalities or universities
•   Hungary hospital audit provides data on wholesaler sales to hospital pharmacies. The hospital universe comprises 175 hospitals
(71,064 beds)
•   Sales data is shown at both the ex- MNF and Public levels at a local level
– MIDAS reports sales levels at manufacturer level, with a margin factor for other levels",0.23,Monthly,84 months,Local and MIDAS,Local
Hungary,Retail,1,2022,Hungarian Pharmaceutical Audit (HPA),Retail Sell-in,"17 Wholesalers, 13 direct sales","2,383 Pharmacies",Not projected,Monthly,144 months,Manufacturer,Hungarian Forint,-,-,Sales values shown at both manufacturer and public level locally,"Notes

•   The Hungary pharmaceutical audit covers wholesalers’ and Manufacturer’s sales to public pharmacies
•   Sales data is shown at both the ex- MNF and Public levels at a local level
– MIDAS reports sales levels at manufacturer level, with a margin factor for other levels",0.77,Monthly,84 months,Local and MIDAS,Local
Hong Kong,Combined,0.91,2022,Hong Kong Pharmaceutical Audit (HKPA),Combined Sell-in,"Distributors and direct manufacturer panel representing ~83% of audited market, 1,100 private hospital beds, 27,895 government hospital beds, 117 doctors, 25 dispensaries","4,514 private hospital beds, 27,895 government hospital beds, 5,734 doctors, 604 dispensaries","Distributors and direct manufacturer panel unprojected, remainder projected",Quarterly,48 quarters,Trade,Hong Kong Dollars,-,"Sales of medicine companies (non-pharmacist drug stores), supermarkets, other retail outlets and exports",-,"Notes

•   The Hong Kong Pharmaceutical Audit (HKPA) covers the private and the government market sector in ethical plus over-the-counter marketing, namely the dispensing doctor clinics, private and government (combined) hospitals and dispensaries (pharmacies)
•   It is based on the purchases of pharmaceuticals by the above outlets located throughout Hong Kong (Hong Kong Island, Kowloon and New Territories). This includes pharmaceuticals officially marketed by companies operating in Hong Kong",0.91,Quarterly,20 quarters,Local,Local
Greece,Retail,0.6,2022,Hellenic Pharmaceutical Monitor (GPI),Retail Sell-out,"2,100 pharmacies","10,150 pharmacies","Projected using territory factors, which may change each month",Monthly,144 months,Trade,Euros,-,"Hospitals, private clinics",-,"Notes

•   The Greece Pharmaceutical Index (GPI) is a pharmaceutical sell-out audit, which covers all pharmaceuticals (RX, semi-ethical and non-ethical) sales from pharmacies to retail consumers",0.6,Monthly,132 months,Local,Local
Germany,Hospital,1,2022,GPI Krankenhaus Index (DKM),Hospital Consumption,IQVIA panel of approx. 500 hospitals,"1,900 hospitals","448 factors for the individual wards (approximately 17,000), 4 hospital-bed-
size classes, 16 departments and 7 regions",Monthly,144 months,Manufacturer,Euro,"DDD, DOT, ZE, Re-/Parallel-Import, Product Type, Phyto/Biotech, Generic/Original, etc.",-,Possibility to split market in inpatient and outpatient sector,"Notes

•    The hospital audit covers consumption of pharmaceutical products in general hospitals with separate departments, specialized hospitals for internal medicine and orthopaedics, and special psychiatric clinics. This involves the collection of data on individual units dispensed by the pharmacy supplying the individual business units (departments) at the hospitals with
its products
•    The panel hospitals report about their total pharmaceuticals consumption in approximately 60 different types of wards on a continuous and monthly basis. The selection of hospitals occurs at random and on an arrangement basis
•    Projection factors are proportional to the number of beds in the universe and panel and are adjusted to reflect the changing universe
•    These factors Sales values are displayed locally as ‘Bewertet’ (weighted purchase price) and ‘Grosso’ (ex-mnf list price). MIDAS reflects the Bewertet value.
•    Sanatoriums are not included in the universe or the sample",0.14,Monthly,120 months,MIDAS,MIDAS
Germany,Retail,1,2022,Der Pharmazeutische Markt Deutschland (DPM),Retail Sell-in,"Coverage of fully sorted wholesalers according to PHAGRO, approx. 4,500 Pharmacies (direct sales), selected reimporters","19,600 Pharmacies, fully sorted wholesalers as of PHAGRO","Wholesaler data unprojected, direct sales from selected reimportes unprojected, Direct sales data projected by region",Monthly,144 months,Manufacturer,Euro,"DDD, DOT, ZE, Re-/Parallel-Import, Product Type, Phyto/Biotech, Generic/Original, etc.",-,Database with separation of indirect and direct sales,"Notes

•   Audited data in Germany provides data from wholesalers and pharmacies
•   Direct and indirect sales are used as sources of data
-   Indirect sales are purchases via wholesalers and are not projected
-   Direct sales from selected reimporters which are not projected covering German direct sales re- import market by approx. 85%
-   Direct sales are purchases from pharmaceutical manufacturers, specialist wholesalers, or distribution cooperatives: via representative random of approximately 4,500 retail pharmacies
•   These sales are projected by regions, while projection factors change every month as the panel data is improved",0.86,Monthly,120 months,MIDAS,MIDAS
Germany,Pharmascope,1,2022,Germany Pharmascope National (PSN),Retail Sell-out,"Pharmacy coding centres/data processing centres, approx. 4,500 Pharmacies + sample of mail order pharmacies (private & cash sales)","19,600 Pharmacies",Private & Cash are projected,Monthly,144 months,Manufacturer,Euro,"DDD, DOT, ZE, Re-/Parallel-Import, Product Type, Phyto/Biotech, Generic/Original, etc.",-,"IQVIA PharmaScope® National Vaccine audit & IQVIA PharmaScope® National Diagnostics audit, IQVIA PharmaScope® National Real XL audit","Notes

•    Additional integration of private and cash sales via mail order pharmacies (from Jul 2009) is based on a special mail order panel

•    Pharmacy & wholesaler exports are excluded

•    Due to banded pricing, MIDAS uses different conversion factors to the
German audits

•    MIDAS applies all backdated sales to current owning company, while in the audit, historical manufacturer ownership
is maintained

•    The locally available Vaccine audit (J6 & J7 markets) covers vaccine wholesalers

•    Diagnostics (T2D2 market) audit is available locally to provide further focus into this market as it includes specialiced retailers

•    IMS PharmaScope® National Real XL provides mandatory rebates for political questions",0.86,Monthly,120 months,MIDAS,MIDAS
French West Africa,Retail,0.86,2022,West Africa Francophone (FWA),Retail Sell-in,25 Wholesalers covering approximately 85% of the market,"3,095 private pharmacies","Yes, separate factors for each country",Monthly,144 months,Manufacturer,Euro,-,Hospital channels,-,"Notes

•   The French West Africa region consists of the following 12 countries:
-   Benin
-   Burkina Faso
-   Cameroon
-   Chad*
-   La République du Congo
-   Gabon
-   Guinea
-   Ivory Coast
-   Mali
-   Niger*
-   Senegal
-   Togo
* Niger and Chad were added in M01/12 with backdata from M01/11",0.86,Monthly,60 months,-,-
France,Hospital,1,2022,Etude Hôpital Public Privé (EHPP),Hospital Consumption,Coverage rate dependent on hospital type (see Notes),"2,000 hospital trusts","Yes, 12 projection factors for each hospital type",Monthly,144 months,Manufacturer,Euro,-,-,-,"Notes

•    Hospital audit is a consumption audit, covering regional university centres, hospitals, oncology centres, psychiatric (public & private) and private clinics
•    Coverage rate is in number of stays, and dependant on hospital category:
-    (Big hospitals (CHU): 53%
-    Hospitals: 22%
-    Oncology centres: 39%
-    Specialized establishments:16%
-    Private hospitals:15%
•    In France, 30% of hospitals are publicly owned while the remainder are in the private sector. Accounting for over half of all reimbursed healthcare expenditure, hospitals are the main providers of healthcare, especially in the absence of an effective GP gatekeeper system
•    The French hospital audit (EHPP) reports the consumption of pharmaceutical products in public, private hospitals and clinics
•    Products available in the form of split packs (tablets, suppositories) are shown in counting units; other products are shown in packs",0.21,Monthly,60 months,MIDAS,MIDAS
France,Retail,1,2022,Le Marche Pharmaceutique (LMP),Retail Sell-out,"13,700 computerized pharmacies","21,703 pharmacies","Yes, based on geographical area",Monthly,144 months,Manufacturer,Euro,-,-,-,"Notes

•   Due to banded pricing, the Latest Price measure is reported at public level, to provide an accurate reimbursement price for products in the France Retail market",0.79,Monthly,60 months,-,MIDAS
Finland,Hospital,1,2022,Pharmaceutical Market Finland: Hospital (FHI),Hospital Sell-in,Wholesalers (100% coverage),420 hospitals,No,Monthly,144 months,Trade,Euro,-,-,-,"Notes

•   Report of aggregate purchases of pharmaceutical products by hospitals. The pharmaceutical products are registered by the National Agency
for Medicines
•   As the data is based on total deliveries from the wholesalers to the hospitals, discounted sales in units are included in the audit. Possible price discounts are not included
•   The FHI has coverage of 100% of hospitals in Finland",0.27,Monthly,144 months,Local and MIDAS,MIDAS
Finland,Retail,1,2022,Pharmaceutical Market Finland: Pharmacies (PMF),Retail Sell-in,Wholesalers (100% coverage),812 pharmacies,No,Monthly,144 months,Trade,Euro,-,-,-,"Notes

•   The audit reports on aggregate purchases of registered pharmaceutical products by retail pharmacies. The pharmaceutical products can be registered and sold to the public only with a permit from the National Agency for Medicines. All figures in the audit are based on the net deliveries from the wholesalers to the pharmacies, i.e. discounted sales are included in the report and any return to the wholesaler of unsold packages from the pharmacies are withdrawn
•   The pharmaceutical audit covers approximately 73% of total Finnish pharmaceutical market sales. No projection factors are used, as the report contains the deliveries of the wholesalers to private and university pharmacies to the extent of 100%",0.73,Monthly,144 months,Local and MIDAS,MIDAS
Estonia,Retail,0.88,2022,Estonia Pharmaceutical Index (ESPI),Retail Sell-in,"2 wholesalers, pharmacy panel",20 wholesalers,Yes,Monthly,144 months,Trade,Euro,"DDD, DOT",Hospitals,-,"Notes

•   The data source in Estonia is a combined wholesalers’ and pharmacies panel showing sell-in activity of pharmacies",0.88,Monthly,60 months,MIDAS,-
Egypt,Non-Retail,1,2022,Institutional market indicator,Non Retail Sell-in,52 distributors,,Distributor data unprojected,Monthly,45 months,Public,Egyptian Pound,-,-,,"Notes

•   The Institutional market is an unprojected audit monitoring institutional & hospital purchasing from specific distributors only
•   Non Retail Audit covers all Public sector “ MOH, NHO, Education , Universities” Plus Private Hospitals
•   The audit covers 25% of total Egyptian pharmaceutical market sales
•   Corporation is coded based on product ownership locally",0.25,Monthly,36 months,Local,4 Sectors
Egypt,Retail,1,2022,Pharmaceutical Index of Egypt,Retail Sell-in,"24 distributors, 445 pharmacies","52,360 pharmacies","Distributor data unprojected, pharmacy data projected",Monthly,144 months,Public,Egyptian Pound,-,-,Egypt Market Indicator,"Notes

•   The Egyptian audit projects pharmacy data to national levels by using 70 territory projection factors. Distributor data is unprojected. Egypt has a universe of pharmacies from which the sample is selected at random out of  an address register according to stratification criteria
•   Tax is 5% for local products, 1.6%
for imported
•   The audit covers 75-80% of total Egyptian pharmaceutical market sales
•   Corporation is coded based on product ownership locally
•   The Egypt Market Indicator is an unprojected audit monitoring institutional & hospital purchasing from specific distributors only",0.75,Monthly,60 months,Local,-
Ecuador,Non-Retail,0.95,2022,Non Retail Audit (NRA),Non-Retail Sell-in,Direct data from 50 Manufacturers and 75 Wholesalers,"9,166 pharmacies",Not Projected,Monthly,60 months,Trade,US Dollar,DDD,Private institutions and others,Others,"Notes

•   The representation of the universe by means of the NRA-sample is achieved by the principles of stratification and random sampling. The pharmacies which have to be considered as “clusters” in regard to elementary units (drugs in the various preparation and pack-sizes) are selected at random within the strata (regions)",0.08,Monthly,60 months,Local,Local
Ecuador,Retail,0.95,2022,Mercado Farmacéutico Ecuador (PME),Retail Sell-in,"60 Pharmacies.
Direct data from 50 Manufacturers and 75 distributors","9,166 pharmacies",Separate projection factors for three regions,Monthly,144 months,Trade,US Dollar,DDD,Public institutions and others,-,"Notes

•   The representation of the universe by means of the PME-sample is achieved by the principles of stratification and random sampling. The pharmacies which have to be considered as “clusters” in regard to elementary units (drugs in the various preparation and pack-sizes) are selected at random within the strata (regions)",0.87,Monthly,60 months,Local,Local
Dominican Republic,Retail,0.78,2022,Mercado Farmacéutico de República Dominicana (PMDR),Retail Sell-in,89 pharmacies,"1,980 pharmacies",Separate factors for all 4 regions,Quarterly,48 quarters,Trade,Dominican Peso,-,"Public and private hospitals, clinics, physicians",-,"Notes

•   Audit available locally on monthly basis, but quarterly on MIDAS",0.78,Monthly,20 quarters,Local,MIDAS
Denmark,"Retail, Hospital, Combined",1,2022,Dansk Lægemiddel Information (DLI),Retail and Hospital Sell-in,"3 wholesalers, manufacturers","398 pharmacies, 90 hospitals",Not projected,Monthly,144 months,Trade,Danish Krone,-,-,Local reference coding,"Notes

•   Wholesaler data is collected on a daily basis from three wholesalers
•   Direct sales to hospitals are reported by manufacturers every month
•   Hospital pharmacy internal production of pharmaceuticals (SAD products) are reported once a year (all sales placed in December). SAD products account for approximately 0.85% of total sales
•   Denmark data is supplied by DLI and then subject to IQVIA coding & product reference rules
•   As a result there are differences in product reference coding and differences in the use of ATC classification between IQVIA outputs and DLI outputs",1,Monthly,60 months,-,Local
Czech Republic,Physician,0.95,2022,Czech Republic Physician Index (CRPI),Physician Sell-in,35 wholesalers (96% coverage),48 000 physicians,Not projected,Monthly,60 months,Manufacturer,Czech Crown,"DDD, DOT","Specialist distribution channels, army, welfare centres","Social Services, Vendor of selected products, Green Pharmacy, Internet Pharmacy, Infant home, Sanitary goods, Cosmetic care","Notes

•   Market segments not covered by audits are represented by special distribution channels & deliveries to the army",0.3,Monthly,60 months,Local and MIDAS,MIDAS
Czech Republic,Hospital,0.95,2022,Czech Republic Hospital Index (CRHI),Hospital Sell-in,35 wholesalers (98% coverage),156 hospital pharmacies,Not projected,Monthly,144 months,Manufacturer,Czech Crown,"DDD, DOT","Specialist distribution channels, army, welfare centres","Social Services, Vendor of selected products, Green Pharmacy, Internet Pharmacy, Infant home, Sanitary goods, Cosmetic care","Notes

•   Market segments not covered by audits are represented by special distribution channels & deliveries to the army",0.3,Monthly,60 months,Local and MIDAS,MIDAS
Czech Republic,Retail,0.95,2022,Czech Republic Pharmaceutical Index (CRPI),Retail Sell-in,35 wholesalers (98% coverage),"2,800 retail pharmacies",Not projected,Monthly,144 months,Manufacturer,Czech Crown,"DDD, DOT","Specialist distribution channels, army, welfare centres","Social Services, Vendor of selected products, Green Pharmacy, Internet Pharmacy, Infant home, Sanitary goods, Cosmetic care","Notes

•   Market segments not covered by audits are represented by special distribution channels & deliveries to the army",0.65,Monthly,60 months,Local and MIDAS,MIDAS
Croatia,Hospital,0.98,2022,Croatia Hospital Index (HRH),Hospital Sell-in,9 wholesalers plus 6 companies with direct sales,"78 Hospitals, 213 Second line institutions (Other channel)",Not projected,Monthly,From M01 2005,Trade,Croatian Kuna,-,-,"Other channel available locally, included in MIDAS Hospital panel","Notes

•   Three channels exist in the local Croatia MarketViewer source: Retail, Hospital and Other
•   The data contained in the Other channel was previously distributed between the pharmacy and hospital channels
•   Locally this channel can be segmented as a separate channel, but is included in the Hospital channel
on MIDAS
•   Sales data is calculated at both the ex-manufacturer and trade levels locally, but the MIDAS output is at trade level
•   WHO and EphMRA ATC classifications are available at the local level",0.36,Monthly,60 months,Local,Local
Croatia,Retail,0.98,2022,Croatia Pharmaceutical Index (CPM),Retail Sell-in,9 wholesalers plus 6 companies with direct sales,"1,163 Pharmacies",Not projected,Monthly,From M01 2005,Trade,Croatian Kuna,-,-,Sales levels available at Manufacturer and Trade level locally,"Notes

•   Sales data is calculated at both the ex-manufacturer and trade levels locally, but the MIDAS output is at trade level
•   WHO and EphMRA ATC classifications are available at the local level",0.64,Monthly,60 months,Local,Local
Colombia,Retail,0.37,2022,Mercado Farmacéutico Colombia (PMC),Retail Sell-in/Sell Out,"57 wholesalers, 3,980 pharmacy chains (39 HQ),
729 co-operatives (6 HQ)","30,593 pharmacies",Separate factors for all 8 regions,Monthly,144 months,Trade,Peso Colombiano,DDD,"Personal Names, Physicians, Private Institutions, Optics, (Universities,
Foundations)",-,"Notes

•   The audit includes Generics and Ethical products, i.e. products carrying a brand name but not publicly advertised. OTC products are covered by the audit if they are sold through pharmacies or co-operatives",39% LC – 37% UN,Monthly,60 months,Local,-
